timestamp_sec,latitude,longitude,altitude,speed_ms,drag_force_n,thrust_force_n,battery_pct,motor_temp_c
26,50.45122376027569,-104.61593436164065,30.17,9.8,2.94,14.79,92.7,29.5
27,50.45126327198331,-104.61594958263727,30.92,9.08,2.53,15.04,92.4,29.8
28,50.451302372395844,-104.61596548977798,31.68,9.01,2.49,14.22,92.2,31.0
29,50.45134104787358,-104.61598207470017,32.43,9.61,2.83,14.39,91.9,30.3
30,50.45137928494679,-104.61599932877017,33.18,9.51,2.77,14.86,91.6,30.5
31,50.45141707032107,-104.61601724308667,33.92,9.32,2.66,14.82,91.3,31.0
32,50.45145439088272,-104.61603580848424,34.66,10.07,3.1,15.41,91.0,30.6
33,50.45149123370395,-104.61605501553701,35.41,9.13,2.55,14.55,90.8,30.9
34,50.45152758604803,-104.6160748545625,36.14,8.99,2.48,14.85,90.5,31.6
35,50.451563435374474,-104.61609531562543,36.88,9.89,3.0,15.16,90.2,30.9
36,50.451598769343946,-104.61611638854173,37.61,9.71,2.89,15.06,89.9,31.3
37,50.45163357582326,-104.61613806288254,38.34,10.2,3.19,14.8,89.6,31.7
38,50.451667842890224,-104.61616032797852,39.06,10.16,3.16,14.54,89.4,31.8
39,50.4517015588384,-104.61618317292397,39.79,9.06,2.52,14.83,89.1,31.7
40,50.451734712181796,-104.6162065865813,40.51,9.24,2.62,14.89,88.8,31.3
41,50.45176729165945,-104.61623055758544,41.22,9.43,2.72,14.67,88.5,32.5
42,50.45179928623995,-104.61625507434833,41.93,8.96,2.46,14.55,88.2,33.1
43,50.451830685125785,-104.61628012506368,42.64,10.01,3.07,15.26,88.0,32.3
44,50.451861477757795,-104.61630569771161,43.35,9.74,2.91,15.09,87.7,32.2
45,50.45189165381925,-104.61633178006346,44.05,10.26,3.22,15.35,87.4,33.6
46,50.451921203240076,-104.61635835968671,44.75,9.35,2.68,15.0,87.1,32.8
47,50.45195011620081,-104.61638542394994,45.44,10.11,3.13,14.77,86.8,33.4
48,50.4519783831366,-104.61641296002786,46.13,10.22,3.2,15.36,86.6,33.7
49,50.45200599474098,-104.61644095490647,46.82,8.95,2.45,15.14,86.3,33.8
50,50.45203294196961,-104.61646939538828,47.5,9.86,2.98,14.7,86.0,33.8
51,50.4520592160439,-104.6164982680975,48.18,8.73,2.33,14.58,85.7,33.5
52,50.45208480845448,-104.61652755948553,48.85,9.79,2.93,14.32,85.4,33.9
53,50.452109710964685,-104.61655725583628,49.52,9.14,2.56,14.35,85.2,35.1
54,50.45213391561377,-104.61658734327166,50.19,9.34,2.67,14.48,84.9,34.0
55,50.452157414720126,-104.61661780775715,50.85,9.71,2.89,14.86,84.6,35.2
56,50.45218020088435,-104.61664863510745,51.5,9.19,2.59,14.66,84.3,35.8
57,50.45220226699223,-104.61667981099208,52.16,10.27,3.23,15.17,84.0,35.2
58,50.452223606217544,-104.61671132094118,52.8,9.74,2.9,15.28,83.8,35.7
59,50.452244212024816,-104.61674315035127,53.45,9.74,2.9,14.91,83.5,35.0
60,50.452264078171936,-104.61677528449106,54.08,9.02,2.49,14.41,83.2,35.4
61,50.452283198712635,-104.61680770850737,54.72,9.22,2.6,14.72,82.9,36.8
62,50.452301567998894,-104.61684040743113,55.34,9.85,2.97,15.37,82.6,35.8
63,50.45231918068318,-104.61687336618324,55.97,9.41,2.71,14.54,82.4,36.2
64,50.45233603172058,-104.61690656958073,56.59,8.81,2.38,14.49,82.1,35.9
65,50.45235211637083,-104.61694000234274,57.2,8.84,2.39,14.7,81.8,37.1
66,50.45236743020023,-104.61697364909669,57.81,8.09,2.01,13.87,81.5,37.1
67,50.45238196908339,-104.61700749438438,58.41,8.8,2.37,14.48,81.2,36.8
68,50.45239572920487,-104.61704152266823,59.01,9.15,2.56,14.19,81.0,37.4
69,50.45240870706075,-104.61707571833742,59.6,9.37,2.69,14.96,80.7,37.9
70,50.45242089945997,-104.6171100657142,60.18,9.58,2.81,14.97,80.4,37.6
71,50.452432303525704,-104.61714454906019,60.77,8.43,2.18,14.79,80.1,37.2
72,50.452442916696384,-104.61717915258252,61.34,9.37,2.69,14.57,79.8,38.1
73,50.452452736726826,-104.61721386044036,61.91,8.79,2.37,13.8,79.6,37.8
74,50.45246176168907,-104.61724865675107,62.47,9.7,2.88,14.89,79.3,37.4
75,50.4524699899732,-104.61728352559666,63.03,9.07,2.52,14.43,79.0,38.6
76,50.45247742028795,-104.61731845103013,63.59,9.33,2.66,14.57,78.7,39.0
77,50.45248405166121,-104.61735341708184,64.13,8.56,2.24,14.62,78.4,38.6
78,50.452489883440464,-104.61738840776589,64.67,9.21,2.6,14.07,78.2,38.9
79,50.452494915292995,-104.61742340708655,65.21,8.66,2.29,14.84,77.9,39.6
80,50.45249914720608,-104.61745839904461,65.74,9.1,2.54,14.52,77.6,39.7
81,50.45250257948694,-104.61749336764383,66.26,8.85,2.4,14.09,77.3,38.7
82,50.45250521276264,-104.6175282968973,66.77,8.56,2.24,14.55,77.0,40.5
83,50.45250704797983,-104.61756317083388,67.28,9.06,2.51,14.18,76.8,40.0
84,50.45250808640439,-104.61759797350447,67.79,9.41,2.71,14.64,76.5,40.0
85,50.452508329620905,-104.61763268898859,68.29,8.71,2.32,14.23,76.2,39.9
86,50.45250777953201,-104.61766730140054,68.78,9.32,2.66,15.01,75.9,40.4
87,50.45250643835767,-104.61770179489591,69.26,8.89,2.42,14.86,75.6,39.9
88,50.452504308634275,-104.6177361536778,69.74,9.05,2.51,14.61,75.4,41.4
89,50.452501393213616,-104.61777036200323,70.21,9.19,2.59,14.14,75.1,41.1
90,50.452497695261755,-104.61780440418939,70.68,9.36,2.68,14.35,74.8,40.9
91,50.452493218257764,-104.61783826461993,71.13,7.55,1.75,13.45,74.5,42.1
92,50.4524879659923,-104.61787192775121,71.59,9.44,2.73,14.46,74.2,41.7
93,50.45248194256615,-104.6179053781185,72.03,8.74,2.34,14.73,74.0,42.0
94,50.452475152388544,-104.61793860034211,72.47,9.45,2.73,14.67,73.7,41.6
95,50.452467600175375,-104.61797157913374,72.9,8.8,2.37,14.53,73.4,42.0
96,50.452459290947374,-104.61800429930231,73.32,8.81,2.38,14.32,73.1,42.3
97,50.45245023002804,-104.61803674576028,73.74,9.46,2.74,14.9,72.8,42.6
98,50.45244042304157,-104.61806890352958,74.15,9.04,2.5,14.5,72.6,42.2
99,50.45242987591056,-104.61810075774758,74.56,9.46,2.74,14.9,72.3,42.7
100,50.452418594853654,-104.6181322936731,74.95,9.01,2.49,14.19,72.0,42.9
101,50.45240658638304,-104.61816349669223,75.34,9.33,2.67,14.72,71.7,43.2
102,50.45239385730191,-104.61819435232428,75.72,8.98,2.47,14.27,71.4,43.3
103,50.45238041470163,-104.61822484622746,76.1,9.26,2.62,14.7,71.2,43.9
104,50.452366265959014,-104.61825496420468,76.47,9.16,2.57,14.33,70.9,43.2
105,50.4523514187333,-104.6182846922092,76.83,9.66,2.86,14.57,70.6,43.9
106,50.452335880963105,-104.61831401635031,77.18,8.46,2.19,13.77,70.3,44.5
107,50.452319660863274,-104.6183429228988,77.52,8.9,2.42,14.58,70.0,44.1
108,50.452302766921555,-104.61837139829251,77.86,8.24,2.08,14.28,69.8,44.8
109,50.452285207895244,-104.6183994291417,78.19,8.25,2.08,13.73,69.5,44.4
110,50.45226699280764,-104.61842700223451,78.52,8.53,2.23,14.54,69.2,45.0
111,50.45224813094447,-104.61845410454211,78.83,9.08,2.52,14.69,68.9,45.0
112,50.45222863185017,-104.61848072322404,79.14,8.92,2.44,14.37,68.6,45.4
113,50.452208505324045,-104.61850684563319,79.44,8.24,2.08,14.42,68.4,45.7
114,50.45218776141636,-104.61853245932106,79.73,8.57,2.25,14.96,68.1,44.8
115,50.45216641042435,-104.61855755204256,80.02,9.37,2.69,15.04,67.8,46.0
116,50.45214446288806,-104.61858211176101,80.3,8.61,2.27,14.23,67.5,45.9
117,50.45212192958614,-104.61860612665292,80.57,7.58,1.76,13.77,67.2,45.9
118,50.45209882153154,-104.61862958511273,80.83,8.85,2.4,14.06,67.0,45.7
119,50.45207514996711,-104.6186524757574,81.08,8.59,2.26,13.49,66.7,47.1
120,50.4520509263611,-104.61867478743108,81.33,8.94,2.45,14.05,66.4,47.2
121,50.45202616240256,-104.61869650920946,81.57,8.3,2.11,13.94,66.1,47.0
122,50.45200086999667,-104.61871763040416,81.8,8.14,2.03,14.05,65.8,47.0
123,50.45197506125999,-104.61873814056707,82.02,8.34,2.13,13.84,65.6,47.1
124,50.451948748515605,-104.61875802949446,82.24,8.12,2.02,13.84,65.3,46.6
125,50.45192194428821,-104.6187772872311,82.44,8.57,2.25,14.41,65.0,47.0
126,50.45189466129905,-104.6187959040742,82.64,8.13,2.02,14.42,64.7,47.5
127,50.4518669124609,-104.61881387057736,82.84,8.83,2.39,14.34,64.4,46.8
128,50.45183871087285,-104.61883117755426,83.02,8.79,2.37,14.56,64.2,47.5
129,50.45181006981511,-104.61884781608242,83.19,8.16,2.04,13.64,63.9,48.7
130,50.451781002743644,-104.61886377750675,83.36,8.19,2.05,14.38,63.6,48.1
131,50.45175152328483,-104.6188790534429,83.52,8.19,2.06,14.36,63.3,48.5
132,50.45172164522998,-104.6188936357808,83.67,8.55,2.24,13.99,63.0,49.2
133,50.45169138252986,-104.61890751668776,83.81,8.88,2.42,14.09,62.8,49.0
134,50.45166074928908,-104.61892068861168,83.95,8.72,2.33,14.62,62.5,48.9
135,50.451629759760465,-104.61893314428404,84.08,8.27,2.09,13.83,62.2,49.3
136,50.451598428339345,-104.61894487672278,84.2,8.55,2.24,14.48,61.9,49.3
137,50.45156676955779,-104.61895587923517,84.31,8.37,2.15,13.74,61.6,49.8
138,50.451534798078846,-104.61896614542042,84.41,7.92,1.92,13.99,61.4,49.4
139,50.451502528690604,-104.61897566917226,84.5,7.37,1.66,13.78,61.1,50.3
140,50.45146997630031,-104.61898444468135,84.59,8.19,2.06,13.87,60.8,50.4
141,50.45143715592844,-104.61899246643769,84.67,8.42,2.17,14.52,60.5,50.0
142,50.45140408270261,-104.61899972923277,84.74,8.33,2.13,14.51,60.2,50.3
143,50.45137077185163,-104.61900622816161,84.8,7.6,1.77,13.6,60.0,51.2
144,50.451337238699324,-104.6190119586248,84.85,8.66,2.3,13.94,59.7,51.5
145,50.45130349865843,-104.6190169163303,84.9,8.69,2.31,13.93,59.4,51.8
146,50.45126956722444,-104.61902109729516,84.93,8.34,2.13,14.59,59.1,51.9
147,50.45123545996944,-104.61902449784712,84.96,8.39,2.15,13.68,58.8,51.0
148,50.45120119253579,-104.61902711462608,84.98,7.78,1.85,14.5,58.6,51.8
149,50.45116678062993,-104.6190289445854,85.0,7.48,1.72,13.44,58.3,51.9
150,50.451132240016115,-104.6190299849932,85.0,7.77,1.85,13.46,58.0,51.9
151,50.45109758651006,-104.61903023343342,85.0,7.9,1.91,13.86,57.7,52.0
152,50.451062835972635,-104.61902968780672,84.98,8.97,2.46,14.38,57.4,52.2
153,50.451028004303524,-104.61902834633143,84.96,7.76,1.84,13.94,57.2,52.5
154,50.45099310743486,-104.6190262075442,84.93,8.34,2.13,14.11,56.9,52.5
155,50.45095816132486,-104.61902327030054,84.9,8.67,2.3,14.14,56.6,52.8
156,50.45092318195145,-104.61901953377543,84.85,7.02,1.51,13.9,56.3,53.4
157,50.450888185305836,-104.61901499746347,84.8,8.52,2.22,13.96,56.0,53.6
158,50.45085318738614,-104.61900966117918,84.74,8.39,2.16,14.21,55.8,52.9
159,50.45081820419099,-104.61900352505707,84.67,8.67,2.3,14.26,55.5,54.4
160,50.45078325171314,-104.6189965895516,84.59,7.83,1.88,14.26,55.2,53.8
161,50.45074834593306,-104.61898885543691,84.5,8.42,2.17,14.52,54.9,54.1
162,50.45071350281251,-104.61898032380665,84.41,8.07,1.99,14.01,54.6,54.1
163,50.45067873828822,-104.6189709960734,84.31,8.45,2.19,14.37,54.4,54.2
164,50.450644068265454,-104.61896087396819,84.2,8.15,2.03,13.93,54.1,54.7
165,50.45060950861171,-104.61894995953982,84.08,7.99,1.96,14.05,53.8,55.1
166,50.45057507515032,-104.61893825515396,83.95,9.0,2.48,14.7,53.5,54.9
167,50.450540783654134,-104.61892576349229,83.81,8.16,2.04,13.82,53.2,55.4
168,50.45050664983922,-104.61891248755136,83.67,8.55,2.24,14.3,53.0,55.0
169,50.450472689358605,-104.61889843064142,83.52,8.22,2.07,14.08,52.7,55.0
170,50.45043891779594,-104.61888359638516,83.36,7.69,1.81,14.23,52.4,55.6
171,50.45040535065935,-104.61886798871612,83.19,8.53,2.23,14.37,52.1,56.3
172,50.45037200337517,-104.61885161187723,83.02,7.24,1.61,13.13,51.8,55.8
173,50.45033889128179,-104.61883447041909,82.84,8.03,1.97,13.88,51.6,55.6
174,50.450306029623555,-104.61881656919809,82.64,9.02,2.49,14.43,51.3,56.5
175,50.45027343354462,-104.61879791337459,82.44,8.66,2.29,14.01,51.0,56.5
176,50.450241118082914,-104.6187785084107,82.24,8.65,2.29,14.04,50.7,56.8
177,50.45020909816411,-104.61875836006821,82.02,7.14,1.56,14.01,50.4,57.7
178,50.450177388595705,-104.61873747440629,81.8,8.55,2.24,14.06,50.2,57.0
179,50.45014600406103,-104.61871585777897,81.57,8.38,2.15,14.62,49.9,57.2
180,50.450114959113414,-104.61869351683266,81.33,8.15,2.04,14.16,49.6,57.0
181,50.45008426817034,-104.61867045850356,81.08,8.79,2.37,14.46,49.3,57.5
182,50.450053945507726,-104.61864669001471,80.83,8.03,1.98,13.67,49.0,57.4
183,50.450024005254164,-104.61862221887328,80.57,8.93,2.44,14.19,48.8,57.4
184,50.44999446138529,-104.6185970528675,80.3,7.93,1.93,14.12,48.5,58.0
185,50.44996532771818,-104.61857120006343,80.02,9.14,2.56,14.81,48.2,58.5
186,50.449936617905855,-104.61854466880196,79.73,9.16,2.57,14.92,47.9,58.1
187,50.449908345431794,-104.61851746769528,79.44,7.77,1.85,14.59,47.6,58.6
188,50.44988052360454,-104.61848960562358,79.14,8.77,2.35,13.98,47.4,59.0
189,50.44985316555238,-104.61846109173133,78.83,9.5,2.77,15.01,47.1,59.2
190,50.44982628421812,-104.61843193542383,78.52,8.4,2.16,14.27,46.8,59.2
191,50.44979989235384,-104.61840214636324,78.19,8.32,2.12,13.93,46.5,59.4
192,50.44977400251589,-104.61837173446486,77.86,9.01,2.49,14.24,46.2,59.2
193,50.44974862705979,-104.61834070989315,77.52,8.56,2.24,13.87,46.0,60.6
194,50.449723778135315,-104.61830908305753,77.18,9.19,2.58,15.12,45.7,59.8
195,50.449699467681626,-104.6182768646084,76.83,8.38,2.15,14.24,45.4,60.8
196,50.449675707422536,-104.6182440654328,76.47,8.66,2.3,14.65,45.1,60.4
197,50.44965250886175,-104.61821069665001,76.1,8.33,2.12,14.22,44.8,60.5
198,50.44962988327832,-104.61817676960717,75.72,9.47,2.75,14.61,44.6,60.6
199,50.44960784172211,-104.6181422958747,75.34,8.49,2.21,14.38,44.3,60.8
200,50.44958639500938,-104.61810728724173,74.95,9.18,2.58,14.46,44.0,60.9
201,50.44956555371847,-104.61807175571128,74.56,9.02,2.49,14.77,43.7,60.6
202,50.44954532818554,-104.61803571349559,74.15,8.22,2.07,14.09,43.4,60.9
203,50.44952572850049,-104.61799917301109,73.74,8.18,2.05,14.01,43.2,61.4
204,50.44950676450283,-104.61796214687357,73.32,7.92,1.92,14.39,42.9,61.6
205,50.44948844577787,-104.61792464789308,72.9,8.62,2.28,14.89,42.6,62.1
206,50.44947078165278,-104.61788668906874,72.47,8.89,2.42,14.83,42.3,62.2
207,50.4494537811929,-104.61784828358367,72.03,9.89,2.99,15.05,42.0,62.5
208,50.44943745319813,-104.61780944479962,71.59,9.05,2.51,14.31,41.8,63.0
209,50.449421806199375,-104.61777018625163,71.13,8.95,2.45,15.07,41.5,62.6
210,50.44940684845517,-104.61773052164268,70.68,8.65,2.29,13.97,41.2,62.5
211,50.449392587948346,-104.61769046483816,70.21,8.3,2.11,14.36,40.9,62.7
212,50.449379032382836,-104.6176500298603,69.74,8.76,2.35,14.75,40.6,63.3
213,50.44936618918062,-104.61760923088262,69.26,8.89,2.42,14.65,40.4,63.4
214,50.449354065478765,-104.61756808222425,68.78,8.69,2.31,14.26,40.1,63.4
215,50.4493426681265,-104.61752659834416,68.29,8.58,2.25,13.72,39.8,64.0
216,50.44933200368256,-104.61748479383543,67.79,8.08,2.0,13.8,39.5,63.5
217,50.44932207841249,-104.61744268341936,67.28,9.15,2.56,14.58,39.2,63.6
218,50.44931289828622,-104.61740028193961,66.77,8.73,2.33,14.17,39.0,63.9
219,50.44930446897562,-104.6173576043563,66.26,9.34,2.67,15.35,38.7,64.5
220,50.44929679585222,-104.61731466573997,65.74,8.98,2.47,14.98,38.4,64.7
221,50.4492898839851,-104.61727148126552,65.21,8.26,2.09,13.72,38.1,64.6
222,50.44928373813885,-104.61722806620624,64.67,9.05,2.51,14.25,37.8,64.6
223,50.449278362771665,-104.61718443592765,64.13,9.71,2.88,14.87,37.6,65.0
224,50.44927376203355,-104.61714060588136,63.59,9.31,2.65,14.68,37.3,65.4
225,50.44926993976467,-104.61709659159887,63.03,9.18,2.58,14.56,37.0,65.8
226,50.44926689949382,-104.61705240868534,62.47,9.41,2.71,14.75,36.7,65.0
227,50.44926464443699,-104.61700807281345,61.91,8.42,2.17,14.0,36.4,66.3
228,50.44926317749612,-104.616963599717,61.34,9.0,2.48,14.21,36.2,66.0
229,50.4492625012579,-104.61691900518471,60.77,10.19,3.18,15.16,35.9,65.6
230,50.44926261799274,-104.61687430505388,60.18,9.05,2.51,14.62,35.6,66.0
231,50.44926352965387,-104.616829515204,59.6,9.83,2.96,15.69,35.3,66.2
232,50.4492652378766,-104.6167846515505,59.01,9.39,2.7,14.65,35.0,67.2
233,50.449267743977586,-104.61673973003832,58.41,8.93,2.44,14.58,34.8,66.8
234,50.449271048954344,-104.61669476663552,57.81,10.46,3.35,15.73,34.5,67.2
235,50.44927515348488,-104.61664977732693,57.2,7.76,1.85,13.67,34.2,67.7
236,50.44928005792734,-104.61660477810773,56.59,8.37,2.14,14.17,33.9,67.0
237,50.44928576231997,-104.61655978497708,55.97,8.56,2.24,13.83,33.6,67.5
238,50.44929226638102,-104.61651481393173,55.34,9.15,2.56,14.74,33.4,68.7
239,50.44929956950888,-104.61646988095953,54.72,9.03,2.5,14.24,33.1,68.6
240,50.449307670782325,-104.61642500203313,54.08,9.61,2.83,14.89,32.8,68.3
241,50.449316568960896,-104.61638019310358,53.45,8.89,2.42,13.97,32.5,68.4
242,50.44932626248538,-104.61633547009393,52.8,9.38,2.7,14.93,32.2,68.5
243,50.44933674947841,-104.61629084889286,52.16,10.44,3.34,15.05,32.0,68.7
244,50.44934802774528,-104.6162463453483,51.5,9.71,2.89,15.18,31.7,69.2
245,50.44936009477475,-104.61620197526115,50.85,9.14,2.56,14.71,31.4,68.8
246,50.449372947740116,-104.61615775437893,50.19,8.8,2.37,14.36,31.1,69.8
247,50.44938658350029,-104.61611369838947,49.52,9.24,2.62,14.54,30.8,69.2
248,50.44940099860109,-104.61606982291462,48.85,10.3,3.25,15.05,30.6,68.6
249,50.44941618927659,-104.61602614350407,48.18,10.01,3.07,14.78,30.3,69.3
250,50.44943215145067,-104.61598267562908,47.5,9.5,2.76,14.8,30.0,70.0
251,50.4494488807386,-104.61593943467626,46.82,9.63,2.84,14.49,29.7,70.1
252,50.44946637244882,-104.61589643594151,46.13,9.92,3.01,14.78,29.4,70.6
253,50.4494846215848,-104.61585369462378,45.44,9.66,2.86,15.04,29.2,70.4
254,50.44950362284708,-104.61581122581913,44.75,9.77,2.92,14.81,28.9,70.9
255,50.44952337063534,-104.61576904451456,44.05,8.34,2.13,14.77,28.6,71.3
256,50.449543859050664,-104.61572716558214,43.35,9.75,2.91,15.18,28.3,71.7
257,50.44956508189788,-104.61568560377289,42.64,9.18,2.58,14.93,28.0,70.8
258,50.449587032688065,-104.61564437371106,41.93,9.43,2.72,15.16,27.8,72.0
259,50.44960970464114,-104.61560348988822,41.22,9.64,2.85,14.89,27.5,71.7
260,50.44963309068856,-104.61556296665741,40.51,9.14,2.56,14.5,27.2,72.3
261,50.44965718347614,-104.61552281822742,39.79,9.91,3.01,14.82,26.9,71.9
262,50.44968197536703,-104.61548305865719,39.06,9.33,2.67,14.51,26.6,72.0
263,50.44970745844473,-104.61544370185008,38.34,9.74,2.91,14.76,26.4,73.3
264,50.449733624516284,-104.61540476154833,37.61,9.19,2.59,14.83,26.1,72.9
265,50.44976046511555,-104.61536625132764,36.88,10.08,3.11,14.65,25.8,73.7
266,50.44978797150658,-104.61532818459163,36.14,8.5,2.21,14.58,25.5,73.1
267,50.449816134687104,-104.61529057456657,35.41,8.6,2.27,14.19,25.2,73.3
268,50.44984494539217,-104.61525343429601,34.66,9.65,2.85,15.14,25.0,73.4
269,50.44987439409782,-104.61521677663565,33.92,9.06,2.52,14.11,24.7,73.6
270,50.44990447102489,-104.61518061424812,33.18,10.06,3.1,15.35,24.4,73.7
271,50.449935166142936,-104.61514495959797,32.43,9.88,2.99,14.66,24.1,74.1
272,50.449966469174264,-104.61510982494664,31.68,9.1,2.53,13.99,23.8,74.0
273,50.449998369598006,-104.6150752223476,30.92,8.82,2.38,14.34,23.6,74.4
274,50.45003085665436,-104.61504116364151,30.17,10.12,3.14,15.01,23.3,74.9
275,50.450063919348864,-104.61500766045143,29.41,9.26,2.63,14.68,23.0,74.0
276,50.4500975464568,-104.61497472417827,28.65,9.65,2.85,14.81,22.7,74.5
277,50.45013172652774,-104.61494236599616,27.89,10.22,3.2,15.3,22.4,74.8
278,50.45016644789001,-104.61491059684803,27.13,9.57,2.81,14.71,22.2,75.3
279,50.45020169865549,-104.61487942744117,26.36,9.5,2.76,14.71,21.9,75.4
280,50.45023746672425,-104.61484886824297,25.59,8.48,2.2,14.18,21.6,75.6
281,50.450273739789495,-104.61481892947681,24.82,10.34,3.27,15.38,21.3,75.8
282,50.45031050534241,-104.61478962111785,24.05,8.9,2.43,14.31,21.0,75.9
283,50.450347750677196,-104.61476095288911,23.28,9.26,2.63,14.74,20.8,76.6
284,50.45038546289614,-104.61473293425755,22.51,9.76,2.92,14.79,20.5,76.3
285,50.4504236289148,-104.61470557443033,21.73,9.25,2.62,14.91,20.2,76.6
286,50.450462235467214,-104.61467888235107,20.96,9.76,2.92,14.7,19.9,76.6
287,50.45050126911121,-104.61465286669633,20.18,10.28,3.23,15.01,19.6,76.5
288,50.45054071623377,-104.61462753587207,19.4,10.22,3.2,15.11,19.4,77.0
289,50.450580563056505,-104.61460289801038,18.62,9.03,2.5,14.66,19.1,77.4
290,50.45062079564117,-104.61457896096611,17.84,9.86,2.98,14.79,18.8,77.6
291,50.45066139989519,-104.61455573231385,17.06,8.72,2.33,14.09,18.5,77.2
292,50.450702361577335,-104.61453321934482,16.28,9.3,2.65,14.72,18.2,77.9
293,50.45074366630342,-104.61451142906394,15.49,9.12,2.55,14.45,18.0,77.7
294,50.45078529955202,-104.61449036818713,14.71,9.22,2.6,14.87,17.7,78.9
295,50.450827246670336,-104.61447004313851,13.93,8.97,2.46,14.12,17.4,78.0
296,50.450869492880024,-104.6144504600479,13.14,9.3,2.65,14.5,17.1,78.1
297,50.45091202328308,-104.61443162474836,12.36,10.22,3.2,15.51,16.8,78.6
298,50.45095482286785,-104.6144135427738,11.57,9.5,2.76,14.42,16.6,78.2
299,50.45099787651501,-104.61439621935685,10.79,10.25,3.22,14.99,16.3,78.7
